group;comments;too much movement;Time;ID;gender;Trials;acc_go;acc_nogo;rt_go;wave;schoolstart;year;ExactAge_T1;ExactAge_T2;Con_acc_t1;InCon_acc_t1;Mix_acc_t1;MixCon_Acc_t1;MixInCon_Acc_t1;Con_CorrRTmean_t1;Incon_CorrRTmean_t1;Mix_CorrRTmean_t1;MixCon_CorrRTmean_t1;MixInCon_CorrRTmean_t1
3;;;1;1169;1;166;0.916666667;0.575;979;2;Jan - March 2009;2015;5.210130048;6.19301848;0.7;0.6;0.75;0.8;0.7;557.79;898.5;1135.33;983.75;1308.57
3;;;1;1171;1;166;0.783333333;0.625;776;2;Jan - March 2009;2015;5.492128679;6.255989049;0.95;0.95;0.65;0.9;0.4;840.42;1025.63;1213.77;1390;817.25
3;;;1;1172;1;166;0.95;1;887;2;Jan - March 2009;2015;5.456536619;6.171115674;1;0.95;0.45;0.5;0.4;843.35;816.32;1303.22;1083;1578.5
2;few presses at T1;;1;1219;2;166;0.666666667;0.475;695.81;1;Oct - Dec 2007;2013;5.574264203;6.617385352;0.85;0.95;0.85;0.8;0.9;528.53;548.63;949.35;967.38;933.33
3;;;1;1225;2;166;0.758333333;0.35;615;2;Jan - March 2008 (Wave 2);2014;5.496919918;7.312799452;0.9;0.75;0.8;0.9;0.7;462.89;540.07;791.81;751.33;843.86
2;;T1;1;1231;2;166;0.858333333;0.675;828.37;1;Oct - Dec 2007;2013;5.352498289;6.40109514;0.9;0.9;0.85;0.8;0.9;566.56;722.72;948.24;883.5;1005.78
2;;;1;1232;2;166;0.891666667;0.8;744.74;1;Oct - Dec 2007;2013;5.522245038;6.592744695;1;1;0.75;0.8;0.7;677.15;759.65;1013.87;921.88;1119
2;;T1;1;1233;2;166;0.75;0.525;796.37;1;Oct - Dec 2007;2013;5.431895962;6.548939083;1;0.9;0.75;0.7;0.8;464.4;650.72;914.87;846.71;974.5
3;0;T2;1;1234;2;166;0.866666667;0.525;639.85;1;Oct - Dec 2007;2014;5.434633812;6.535249829;0.95;0.95;0.65;0.5;0.8;595.42;658.84;981.31;881.6;1043.63
3;0;;1;1235;2;166;0.8;0.325;808.74;1;Oct - Dec 2007;2014;5.420944559;6.532511978;0.9;0.6;0.45;0.4;0.5;956.5;770.25;1040;829.75;1208.2
3;0;;1;1236;2;166;0.95;0.75;837.88;1;Oct - Dec 2007;2014;5.503080082;6.562628337;1;0.95;0.6;0.6;0.6;774.55;1015.21;1319.92;1334.17;1305.67
2;;;1;1239;2;166;0.808333333;0.925;1052.82;1;Oct - Dec 2007;2013;5.70568104;6.595482546;1;1;0.95;1;0.9;580.15;920.95;1151.26;1135.5;1168.78
2;;T1;1;1240;2;166;1;0.4;665;1;Oct - Dec 2007;2013;5.771389459;6.680355921;0.95;1;0.8;0.8;0.8;512.89;782.7;1120.56;1088.38;1152.75
2;;;1;1242;2;166;0.808333333;0.725;972;2;Oct - Dec 2008;2014;5.349760438;6.439425051;0.9;0.85;0.9;1;0.8;664.44;900;1015.11;980.3;1058.63
2;;;1;1243;2;166;0.991666667;0.75;848;2;Oct - Dec 2008;2014;5.409993155;6.592744695;0.9;0.75;0.75;0.7;0.8;518.22;597.67;877.47;854.14;897.88
3;0;;1;1245;2;166;0.783333333;0.7;779;2;Oct - Dec 2008;2015;5.333333333;6.379192334;0.95;0.8;0.75;1;0.5;818.79;884.44;1218.6;1199.6;1256.6
